(('2001_1229', '90', '1'), 2)
(('2001_1229', '70', '3'), 2)
(('2001_1229', '70', '1'), 2)
(('2001_1229', '45', '1'), 2)
(('2001_1229', '3', '3'), 2)
(('2001_1229', '11', '2'), 2)
(('2001_1229', '9', '2'), 1)
(('2001_1229', '9', '1'), 1)
(('2001_1229', '83', '2'), 1)
(('2001_1229', '82', '2'), 1)
(('2001_1229', '82', '1'), 1)
(('2001_1229', '65', '1'), 1)
(('2001_1229', '52', '3'), 1)
(('2001_1229', '50', '3'), 1)
(('2001_1229', '415', '5'), 1)
(('2001_1229', '414', '2'), 1)
(('2001_1229', '20', '10'), 1)
(('2001_1229', '20', '1'), 1)
(('2001_1229', '181', '2'), 1)
(('2001_1229', '180', '3'), 1)
(('2001_1229', '164', '3'), 1)
(('2001_1229', '157', '2'), 1)
(('2001_1229', '15', '3'), 1)
(('2001_1229', '149', '2'), 1)
(('2001_1229', '146', '1'), 1)
(('2001_1229', '144', '2'), 1)
(('2001_1229', '144', '1'), 1)
(('2001_1229', '133', '1'), 1)
(('2001_1229', '13', '3'), 1)
(('2001_1229', '128', '4'), 1)
(('2001_1229', '128', '2'), 1)
(('2001_1229', '122', '2'), 1)
(('2001_1229', '122', '1'), 1)
(('2001_1229', '114', '1'), 1)
(('2001_1229', '100', '2'), 1)
(('2004_2533', '1', '3'), 10)
(('2004_2533', '3', '1'), 9)
(('2004_2533', '3', '2'), 4)
(('2004_2533', '7', '1'), 3)
(('2004_2533', '6', '1'), 3)
(('2004_2533', '27', '1'), 3)
(('2004_2533', '22', '1'), 3)
(('2004_2533', '12', '1'), 3)
(('2004_2533', '7', '3'), 2)
(('2004_2533', '4', '1'), 2)
(('2004_2533', '17', '1'), 2)
(('2004_2533', '16', '1'), 2)
(('2004_2533', '8', '2'), 1)
(('2004_2533', '6', '4'), 1)
(('2004_2533', '59', '3'), 1)
(('2004_2533', '45', '1'), 1)
(('2004_2533', '43', '1'), 1)
(('2004_2533', '25', '5'), 1)
(('2004_2533', '24', '5'), 1)
(('2004_2533', '21', '1'), 1)
(('2004_2533', '2', '3'), 1)
(('2004_2533', '14', '2'), 1)
(('2004_2533', '12', '4'), 1)
(('2004_2533', '11', '5'), 1)
(('2004_2533', '10', '4'), 1)
(('2004_177', '122', '1'), 6)
(('2004_177', '3', '1'), 4)
(('2004_177', '100', '1'), 4)
(('2004_177', '67', '1'), 3)
(('2004_177', '136', '1'), 3)
(('2004_177', '62', '1'), 2)
(('2004_177', '6', '3'), 2)
(('2004_177', '179', '2'), 2)
(('2004_177', '173', '2'), 2)
(('2004_177', '167', '3'), 2)
(('2004_177', '136', '2'), 2)
(('2004_177', '91', '5'), 1)
(('2004_177', '86', '4'), 1)
(('2004_177', '7', '1'), 1)
(('2004_177', '42', '2'), 1)
(('2004_177', '40', '1'), 1)
(('2004_177', '38', '3'), 1)
(('2004_177', '29', '3'), 1)
(('2004_177', '23', '1'), 1)
(('2004_177', '22', '1'), 1)
(('2004_177', '195', '1'), 1)
(('2004_177', '173', '1'), 1)
(('2004_177', '172', '1'), 1)
(('2004_177', '164', '2'), 1)
(('2004_177', '157', '1'), 1)
(('2004_177', '153', '2'), 1)
(('2004_177', '153', '1'), 1)
(('2004_177', '148', '2'), 1)
(('2004_177', '148', '1'), 1)
(('2004_177', '140', '2'), 1)
(('2004_1378', '29', '1'), 25)
(('2004_1378', '29', '2'), 8)
(('2004_1378', '33', '2'), 2)
(('2004_1378', '30', '6'), 2)
(('2004_1378', '30', '5'), 2)
(('2004_1378', '71', '1'), 1)
(('2004_1378', '56', '1'), 1)
(('2004_1378', '51', '4'), 1)
(('2004_1378', '49', '5'), 1)
(('2004_1378', '48', '1'), 1)
(('2004_1378', '37', '3'), 1)
(('2004_1378', '35', '6'), 1)
(('2004_1378', '35', '1'), 1)
(('2004_1378', '3', '1'), 1)
(('2004_1378', '28', '1'), 1)
(('2004_1378', '20', '1'), 1)
(('2004_1378', '12', '7'), 1)
(('1997_783', '6', '1'), 16)
(('1997_783', '6', '2'), 6)
(('1997_783', '4', '1'), 5)
(('1997_783', '12', '2'), 5)
(('1997_783', '12', '1'), 5)
(('1997_783', '23', '2'), 2)
(('1997_783', '19', '1'), 2)
(('1997_783', '44', '1'), 1)
(('1997_783', '43', '2'), 1)
(('1997_783', '37', '2'), 1)
(('1997_783', '21', '1'), 1)
(('1997_783', '20', '3'), 1)
(('1997_783', '20', '1'), 1)
(('1997_783', '10', '2'), 1)
(('1996_474', '25', '3'), 21)
(('1996_474', '19', '1'), 9)
(('1996_474', '30', '1'), 6)
(('1996_474', '37', '1'), 4)
(('1996_474', '25', '4'), 2)
(('1996_474', '13', '1'), 2)
(('1996_474', '51', '1'), 1)
(('1996_474', '40', '1'), 1)
(('1996_474', '30', '2'), 1)
(('1996_474', '28', '2'), 1)
(('2004_1532', '4', '1'), 32)
(('2004_1532', '9', '1'), 8)
(('2004_1532', '6', '1'), 2)
(('2004_1532', '20', '2'), 1)
(('2004_1532', '20', '1'), 1)
(('2004_1532', '18', '2'), 1)
(('2004_1532', '14', '1'), 1)
(('2004_1532', '13', '2'), 1)
(('2004_880', '6', '1'), 8)
(('2004_880', '61', '1'), 7)
(('2004_880', '67', '1'), 4)
(('2004_880', '88', '1'), 2)
(('2004_880', '64', '1'), 2)
(('2004_880', '51', '2'), 2)
(('2004_880', '51', '1'), 2)
(('2004_880', '159', '3'), 2)
(('2004_880', '85', '4'), 1)
(('2004_880', '84', '1'), 1)
(('2004_880', '69', '1'), 1)
(('2004_880', '56', '1'), 1)
(('2004_880', '52', '2'), 1)
(('2004_880', '52', '1'), 1)
(('2004_880', '34', '1'), 1)
(('2004_880', '33', '6'), 1)
(('2004_880', '33', '3'), 1)
(('2004_880', '29', '1'), 1)
(('2004_880', '27', '1'), 1)
(('2004_880', '17', '1'), 1)
(('2004_880', '12', '3'), 1)
(('2004_880', '113', '2'), 1)
(('1998_1118', '138', '2'), 4)
(('1998_1118', '36', '1'), 3)
(('1998_1118', '9', '1'), 2)
(('1998_1118', '7', '1'), 2)
(('1998_1118', '67', '1'), 2)
(('1998_1118', '6', '2'), 2)
(('1998_1118', '6', '1'), 2)
(('1998_1118', '15', '1'), 2)
(('1998_1118', '134', '1'), 2)
(('1998_1118', '122', '1'), 2)
(('1998_1118', '89', '2'), 1)
(('1998_1118', '77', '1'), 1)
(('1998_1118', '74', '2'), 1)
(('1998_1118', '64', '1'), 1)
(('1998_1118', '6', '5'), 1)
(('1998_1118', '42', '1'), 1)
(('1998_1118', '229', '2'), 1)
(('1998_1118', '177', '2'), 1)
(('1998_1118', '176', '2'), 1)
(('1998_1118', '16', '5'), 1)
(('1998_1118', '16', '1'), 1)
(('1998_1118', '140', '4'), 1)
(('1998_1118', '132', '1'), 1)
(('1998_1118', '130', '3'), 1)
(('1998_1118', '117', '1'), 1)
(('1998_1118', '104', '9'), 1)
(('1998_1118', '104', '8'), 1)
(('1998_1118', '104', '1'), 1)
(('1998_1118', '1', '2'), 1)
(('2003_423', '10', '2'), 12)
(('2003_423', '3', '1'), 3)
(('2003_423', '87', '1'), 2)
(('2003_423', '33', '1'), 2)
(('2003_423', '24', '1'), 2)
(('2003_423', '10', '1'), 2)
(('2003_423', '87', '4'), 1)
(('2003_423', '7', '1'), 1)
(('2003_423', '62', '2'), 1)
(('2003_423', '57', '2'), 1)
(('2003_423', '39', '1'), 1)
(('2003_423', '36', '2'), 1)
(('2003_423', '31', '2'), 1)
(('2003_423', '3', '2'), 1)
(('2003_423', '29', '2'), 1)
(('2003_423', '21', '4'), 1)
(('2003_423', '21', '1'), 1)
(('2003_423', '2', '1'), 1)
(('2003_423', '19', '2'), 1)
(('2003_423', '16', '1'), 1)
(('2003_423', '120', '1'), 1)
(('2003_423', '108', '4'), 1)
(('2003_423', '1', '1'), 1)
(('2001_749', '22', '1'), 5)
(('2001_749', '14', '2'), 4)
(('2001_749', '8', '3'), 3)
(('2001_749', '59', '2'), 3)
(('2001_749', '50', '2'), 3)
(('2001_749', '51', '1'), 2)
(('2001_749', '50', '1'), 2)
(('2001_749', '42', '1'), 2)
(('2001_749', '28', '1'), 2)
(('2001_749', '1', '1'), 2)
(('2001_749', '56', '1'), 1)
(('2001_749', '52', '1'), 1)
(('2001_749', '49', '1'), 1)
(('2001_749', '4', '1'), 1)
(('2001_749', '34', '1'), 1)
(('2001_749', '32', '15'), 1)
(('2001_749', '24', '1'), 1)
(('2001_749', '23', '1'), 1)
(('2001_749', '20', '5'), 1)
(('2001_749', '2', '6'), 1)
(('2001_749', '2', '3'), 1)
(('2003_1936', '53', '5'), 4)
(('2003_1936', '23', '1'), 4)
(('2003_1936', '5', '1'), 3)
(('2003_1936', '22', '1'), 3)
(('2003_1936', '82', '4'), 2)
(('2003_1936', '57', '6'), 2)
(('2003_1936', '56', '3'), 2)
(('2003_1936', '19', '3'), 2)
(('2003_1936', '179', '4'), 2)
(('2003_1936', '159', '1'), 2)
(('2003_1936', '81', '3'), 1)
(('2003_1936', '59', '1'), 1)
(('2003_1936', '56', '2'), 1)
(('2003_1936', '4', '1'), 1)
(('2003_1936', '31', '1'), 1)
(('2003_1936', '27', '1'), 1)
(('2003_1936', '209', '1'), 1)
(('2003_1936', '18', '1'), 1)
(('2003_1936', '177', '3'), 1)
(('2003_1936', '16', '2'), 1)
(('2003_1936', '143', '1'), 1)
(('2003_1936', '1', '2'), 1)
(('1997_349', '12', '1'), 9)
(('1997_349', '28', '4'), 3)
(('1997_349', '67', '4'), 2)
(('1997_349', '5', '1'), 2)
(('1997_349', '48', '1'), 2)
(('1997_349', '45', '1'), 2)
(('1997_349', '3', '1'), 2)
(('1997_349', '86', '1'), 1)
(('1997_349', '83', '2'), 1)
(('1997_349', '74', '2'), 1)
(('1997_349', '69', '4'), 1)
(('1997_349', '66', '2'), 1)
(('1997_349', '61', '5'), 1)
(('1997_349', '5', '7'), 1)
(('1997_349', '4', '2'), 1)
(('1997_349', '29', '4'), 1)
(('1997_349', '194', '3'), 1)
(('1997_349', '194', '2'), 1)
(('1997_349', '165', '2'), 1)
(('1997_349', '126', '5'), 1)
(('1997_349', '12', '2'), 1)
(('1997_349', '102', '2'), 1)
(('1997_349', '10', '1'), 1)
(('1997_733', '38', '1'), 13)
(('1997_733', '12', '1'), 6)
(('1997_733', '4', '1'), 5)
(('1997_733', '40', '1'), 4)
(('1997_733', '15', '1'), 2)
(('1997_733', '14', '1'), 2)
(('1997_733', '5', '3'), 1)
(('1997_733', '44', '2'), 1)
(('1997_733', '43', '1'), 1)
(('1997_733', '39', '3'), 1)
(('1997_733', '13', '1'), 1)
(('1994_195', '31', '1'), 3)
(('1994_195', '131', '2'), 3)
(('1994_195', '281', '2'), 2)
(('1994_195', '261', '2'), 2)
(('1994_195', '224', '1'), 2)
(('1994_195', '223', '2'), 2)
(('1994_195', '82', '1'), 1)
(('1994_195', '7', '1'), 1)
(('1994_195', '49', '1'), 1)
(('1994_195', '44', '1'), 1)
(('1994_195', '43', '1'), 1)
(('1994_195', '37', '2'), 1)
(('1994_195', '35', '3'), 1)
(('1994_195', '318', '4'), 1)
(('1994_195', '31', '4'), 1)
(('1994_195', '31', '2'), 1)
(('1994_195', '270', '6'), 1)
(('1994_195', '269', '3'), 1)
(('1994_195', '264', '3'), 1)
(('1994_195', '264', '2'), 1)
(('1994_195', '25', '3'), 1)
(('1994_195', '236', '2'), 1)
(('1994_195', '228', '2'), 1)
(('1994_195', '223', '4'), 1)
(('1994_195', '222', '3'), 1)
(('1994_195', '174', '3'), 1)
(('1994_195', '169', '7'), 1)
(('1994_195', '169', '1'), 1)
(('1994_195', '122', '2'), 1)
(('2001_1381', '10', '2'), 5)
(('2001_1381', '87', '1'), 3)
(('2001_1381', '88', '2'), 2)
(('2001_1381', '38', '1'), 2)
(('2001_1381', '32', '1'), 2)
(('2001_1381', '87', '4'), 1)
(('2001_1381', '86', '8'), 1)
(('2001_1381', '86', '3'), 1)
(('2001_1381', '8', '1'), 1)
(('2001_1381', '77', '1'), 1)
(('2001_1381', '72', '5'), 1)
(('2001_1381', '71', '1'), 1)
(('2001_1381', '7', '4'), 1)
(('2001_1381', '7', '3'), 1)
(('2001_1381', '7', '2'), 1)
(('2001_1381', '62', '2'), 1)
(('2001_1381', '57', '2'), 1)
(('2001_1381', '39', '1'), 1)
(('2001_1381', '37', '8'), 1)
(('2001_1381', '3', '2'), 1)
(('2001_1381', '3', '1'), 1)
(('2001_1381', '23', '2'), 1)
(('2001_1381', '2', '1'), 1)
(('2001_1381', '19', '1'), 1)
(('2001_1381', '122', '1'), 1)
(('2001_1381', '108', '4'), 1)
(('2001_1381', '10', '1'), 1)
(('1998_602', '101', '2'), 3)
(('1998_602', '20', '1'), 2)
(('1998_602', '110', '2'), 2)
(('1998_602', '10', '2'), 2)
(('1998_602', '99', '3'), 1)
(('1998_602', '92', '3'), 1)
(('1998_602', '92', '1'), 1)
(('1998_602', '88', '2'), 1)
(('1998_602', '84', '3'), 1)
(('1998_602', '84', '2'), 1)
(('1998_602', '76', '4'), 1)
(('1998_602', '61', '4'), 1)
(('1998_602', '61', '2'), 1)
(('1998_602', '48', '1'), 1)
(('1998_602', '44', '2'), 1)
(('1998_602', '43', '2'), 1)
(('1998_602', '30', '2'), 1)
(('1998_602', '21', '2'), 1)
(('1998_602', '192', '1'), 1)
(('1998_602', '190', '1'), 1)
(('1998_602', '178', '6'), 1)
(('1998_602', '166', '1'), 1)
(('1998_602', '162', '2'), 1)
(('1998_602', '151', '4'), 1)
(('1998_602', '150', '2'), 1)
(('1998_602', '134', '2'), 1)
(('1998_602', '121', '2'), 1)
(('1998_602', '110', '3'), 1)
(('1998_602', '110', '1'), 1)
(('1998_602', '11', '5'), 1)
(('1998_602', '102', '1'), 1)
(('2004_964', '275', '8'), 4)
(('2004_964', '261', '1'), 3)
(('2004_964', '181', '1'), 3)
(('2004_964', '273', '1'), 2)
(('2004_964', '272', '8'), 2)
(('2004_964', '7', '1'), 1)
(('2004_964', '64', '1'), 1)
(('2004_964', '552', '2'), 1)
(('2004_964', '53', '4'), 1)
(('2004_964', '403', '6'), 1)
(('2004_964', '388', '1'), 1)
(('2004_964', '343', '2'), 1)
(('2004_964', '335', '1'), 1)
(('2004_964', '272', '9'), 1)
(('2004_964', '272', '7'), 1)
(('2004_964', '272', '6'), 1)
(('2004_964', '272', '5'), 1)
(('2004_964', '272', '4'), 1)
(('2004_964', '272', '3'), 1)
(('2004_964', '258', '5'), 1)
(('2004_964', '212', '1'), 1)
(('2004_964', '202', '1'), 1)
(('2004_964', '201', '1'), 1)
(('2004_964', '14', '1'), 1)
(('2004_964', '102', '1'), 1)
(('2004_623', '2', '1'), 8)
(('2004_623', '6', '5'), 2)
(('2004_623', '23', '1'), 2)
(('2004_623', '20', '1'), 2)
(('2004_623', '13', '1'), 2)
(('2004_623', '11', '3'), 2)
(('2004_623', '11', '2'), 2)
(('2004_623', '11', '1'), 2)
(('2004_623', '9', '2'), 1)
(('2004_623', '6', '7'), 1)
(('2004_623', '6', '2'), 1)
(('2004_623', '36', '1'), 1)
(('2004_623', '23', '2'), 1)
(('2004_623', '19', '1'), 1)
(('2004_623', '18', '2'), 1)
(('2004_623', '18', '1'), 1)
(('2004_623', '13', '6'), 1)
(('2004_623', '13', '5'), 1)
(('2004_623', '10', '1'), 1)
(('2003_535', '5', '1'), 11)
(('2003_535', '16', '1'), 4)
(('2003_535', '230', '2'), 3)
(('2003_535', '16', '3'), 3)
(('2003_535', '5', '3'), 2)
(('2003_535', '30', '3'), 2)
(('2003_535', '8', '1'), 1)
(('2003_535', '78', '1'), 1)
(('2003_535', '70', '3'), 1)
(('2003_535', '70', '1'), 1)
(('2003_535', '53', '1'), 1)
(('2003_535', '5', '2'), 1)
(('2003_535', '27', '7'), 1)
